Line#,Date,2LR2,2TR2,2MR2,1LR2,1TR2,1MR2,Solar event
1,2025-06-27 00:00:00+02:00,19.6,19.67,19.77,19.35,20.18,19.92,dawn
2,2025-06-27 00:30:00+02:00,19.17,19.37,19.28,19.09,19.62,19.3,dawn
3,2025-06-27 01:00:00+02:00,18.25,18.23,18.25,18.14,18.62,18.36,dawn
4,2025-06-27 01:30:00+02:00,17.09,16.94,16.71,16.66,17.2,16.92,dawn
5,2025-06-27 02:00:00+02:00,16.54,16.17,16.11,16.26,16.49,16.11,dawn
6,2025-06-27 02:30:00+02:00,16.15,16.0,15.7,16.08,16.3,15.93,dawn
7,2025-06-27 03:00:00+02:00,15.53,15.27,15.14,15.42,15.68,15.27,dawn
8,2025-06-27 03:30:00+02:00,15.06,14.86,14.91,14.86,15.18,15.1,dawn
9,2025-06-27 04:00:00+02:00,14.82,14.65,14.52,14.48,14.97,14.63,dawn
10,2025-06-27 04:30:00+02:00,14.41,14.3,14.15,14.13,14.52,14.33,dawn
11,2025-06-27 05:00:00+02:00,14.22,14.03,13.92,14.11,14.26,13.92,dawn
12,2025-06-27 05:30:00+02:00,14.07,13.94,13.83,13.98,14.09,13.9,dawn
13,2025-06-27 06:00:00+02:00,13.92,13.81,13.58,13.83,14.05,13.77,dawn
14,2025-06-27 06:30:00+02:00,13.83,13.75,13.51,13.58,13.92,13.62,dawn
15,2025-06-27 07:00:00+02:00,13.9,13.9,13.9,13.75,14.22,14.03,sunrise
16,2025-06-27 07:30:00+02:00,14.65,14.84,14.65,14.48,15.01,14.58,sunrise
17,2025-06-27 08:00:00+02:00,17.16,18.51,18.14,16.58,17.54,16.39,sunrise
18,2025-06-27 08:30:00+02:00,22.37,22.69,24.47,21.13,20.7,23.12,sunrise
19,2025-06-27 09:00:00+02:00,26.12,24.79,26.81,25.44,23.44,25.35,sunrise
20,2025-06-27 09:30:00+02:00,29.53,28.05,30.67,29.51,27.24,28.8,sunrise
21,2025-06-27 10:00:00+02:00,29.62,30.01,29.36,29.75,28.57,28.91,sunrise
22,2025-06-27 10:30:00+02:00,31.27,31.76,32.09,31.21,30.5,30.46,sunrise
23,2025-06-27 11:00:00+02:00,32.82,32.71,33.18,32.45,31.27,32.07,noon
24,2025-06-27 11:30:00+02:00,34.15,33.72,34.21,33.61,32.49,33.29,noon
25,2025-06-27 12:00:00+02:00,34.79,34.23,35.09,34.32,32.73,33.4,noon
26,2025-06-27 12:30:00+02:00,35.69,35.07,35.95,36.29,34.47,34.68,noon
27,2025-06-27 13:00:00+02:00,34.92,36.1,35.99,36.44,36.21,35.28,noon
28,2025-06-27 13:30:00+02:00,36.4,36.76,37.32,36.93,36.59,36.1,noon
29,2025-06-27 14:00:00+02:00,36.36,36.51,36.48,36.44,36.33,35.97,noon
30,2025-06-27 14:30:00+02:00,37.43,37.86,37.73,38.37,37.96,37.19,noon
31,2025-06-27 15:00:00+02:00,39.49,38.26,38.89,39.32,37.94,38.11,noon
32,2025-06-27 15:30:00+02:00,39.08,39.44,39.4,39.74,39.04,39.02,noon
33,2025-06-27 16:00:00+02:00,41.7,40.24,40.17,39.83,38.74,39.85,noon
34,2025-06-27 16:30:00+02:00,41.01,40.37,39.98,39.74,38.86,39.32,noon
35,2025-06-27 17:00:00+02:00,40.84,39.79,40.39,39.42,38.63,39.83,noon
36,2025-06-27 17:30:00+02:00,39.57,40.02,39.68,39.44,39.23,39.44,noon
37,2025-06-27 18:00:00+02:00,39.85,41.03,39.89,40.3,39.53,39.74,noon
38,2025-06-27 18:30:00+02:00,40.45,41.59,40.39,39.19,40.56,40.04,sunset
39,2025-06-27 19:00:00+02:00,37.88,39.66,39.44,35.6,39.38,38.89,sunset
40,2025-06-27 19:30:00+02:00,34.96,39.57,39.21,35.22,39.29,37.54,sunset
41,2025-06-27 20:00:00+02:00,33.65,41.35,38.03,34.88,39.49,34.6,sunset
42,2025-06-27 20:30:00+02:00,33.31,38.01,33.91,33.82,37.04,33.97,sunset
43,2025-06-27 21:00:00+02:00,31.55,34.25,32.26,31.92,33.05,31.94,sunset
44,2025-06-27 21:30:00+02:00,28.61,28.76,28.59,30.07,28.7,28.46,sunset
45,2025-06-27 22:00:00+02:00,26.04,25.69,25.63,25.61,25.76,25.63,sunset
46,2025-06-27 22:30:00+02:00,23.74,23.27,23.31,23.1,23.64,23.51,dusk
47,2025-06-27 23:00:00+02:00,22.43,22.24,22.13,22.09,22.54,22.24,dusk
48,2025-06-27 23:30:00+02:00,20.93,20.87,21.0,20.78,21.25,21.38,dusk
49,2025-06-28 00:00:00+02:00,20.42,20.33,20.46,20.1,20.63,20.76,dawn
50,2025-06-28 00:30:00+02:00,19.82,19.5,19.62,19.17,19.95,20.03,dawn
51,2025-06-28 01:00:00+02:00,19.67,19.45,19.35,19.2,19.77,19.24,dawn
52,2025-06-28 01:30:00+02:00,18.89,19.15,18.89,18.64,19.39,18.96,dawn
53,2025-06-28 02:00:00+02:00,18.51,18.47,18.49,18.34,18.81,18.7,dawn
54,2025-06-28 02:30:00+02:00,18.49,18.62,18.02,18.64,18.72,18.17,dawn
55,2025-06-28 03:00:00+02:00,17.59,17.48,17.65,17.33,17.61,17.74,dawn
56,2025-06-28 03:30:00+02:00,17.56,17.41,17.44,17.5,17.72,17.54,dawn
57,2025-06-28 04:00:00+02:00,17.09,17.09,17.01,16.88,17.26,17.14,dawn
58,2025-06-28 04:30:00+02:00,16.58,16.34,16.3,16.47,16.66,16.39,dawn
59,2025-06-28 05:00:00+02:00,16.73,16.49,16.34,16.51,16.66,16.39,dawn
60,2025-06-28 05:30:00+02:00,16.15,15.89,15.89,16.06,16.21,16.11,dawn
61,2025-06-28 06:00:00+02:00,15.89,15.59,15.74,15.81,15.85,15.76,dawn
62,2025-06-28 06:30:00+02:00,18.02,17.69,17.29,17.89,17.78,16.94,dawn
63,2025-06-28 07:00:00+02:00,16.51,16.15,16.47,16.21,16.34,16.28,sunrise
64,2025-06-28 07:30:00+02:00,16.6,16.54,16.49,16.34,16.62,16.47,sunrise
65,2025-06-28 08:00:00+02:00,19.0,20.78,20.42,19.2,19.9,18.74,sunrise
