Line#,Date,2LR2,2TR2,2MR2,1LR2,1TR2,1MR2
1,27/06/25 00:00:00 +0200,"19,60","19,67","19,77","19,35","20,18","19,92"
2,27/06/25 00:30:00 +0200,"19,17","19,37","19,28","19,09","19,62","19,30"
3,27/06/25 01:00:00 +0200,"18,25","18,23","18,25","18,14","18,62","18,36"
4,27/06/25 01:30:00 +0200,"17,09","16,94","16,71","16,66","17,20","16,92"
5,27/06/25 02:00:00 +0200,"16,54","16,17","16,11","16,26","16,49","16,11"
6,27/06/25 02:30:00 +0200,"16,15","16,00","15,70","16,08","16,30","15,93"
7,27/06/25 03:00:00 +0200,"15,53","15,27","15,14","15,42","15,68","15,27"
8,27/06/25 03:30:00 +0200,"15,06","14,86","14,91","14,86","15,18","15,10"
9,27/06/25 04:00:00 +0200,"14,82","14,65","14,52","14,48","14,97","14,63"
10,27/06/25 04:30:00 +0200,"14,41","14,30","14,15","14,13","14,52","14,33"
11,27/06/25 05:00:00 +0200,"14,22","14,03","13,92","14,11","14,26","13,92"
12,27/06/25 05:30:00 +0200,"14,07","13,94","13,83","13,98","14,09","13,90"
13,27/06/25 06:00:00 +0200,"13,92","13,81","13,58","13,83","14,05","13,77"
14,27/06/25 06:30:00 +0200,"13,83","13,75","13,51","13,58","13,92","13,62"
15,27/06/25 07:00:00 +0200,"13,90","13,90","13,90","13,75","14,22","14,03"
16,27/06/25 07:30:00 +0200,"14,65","14,84","14,65","14,48","15,01","14,58"
17,27/06/25 08:00:00 +0200,"17,16","18,51","18,14","16,58","17,54","16,39"
18,27/06/25 08:30:00 +0200,"22,37","22,69","24,47","21,13","20,70","23,12"
19,27/06/25 09:00:00 +0200,"26,12","24,79","26,81","25,44","23,44","25,35"
20,27/06/25 09:30:00 +0200,"29,53","28,05","30,67","29,51","27,24","28,80"
21,27/06/25 10:00:00 +0200,"29,62","30,01","29,36","29,75","28,57","28,91"
22,27/06/25 10:30:00 +0200,"31,27","31,76","32,09","31,21","30,50","30,46"
23,27/06/25 11:00:00 +0200,"32,82","32,71","33,18","32,45","31,27","32,07"
24,27/06/25 11:30:00 +0200,"34,15","33,72","34,21","33,61","32,49","33,29"
25,27/06/25 12:00:00 +0200,"34,79","34,23","35,09","34,32","32,73","33,40"
26,27/06/25 12:30:00 +0200,"35,69","35,07","35,95","36,29","34,47","34,68"
27,27/06/25 13:00:00 +0200,"34,92","36,10","35,99","36,44","36,21","35,28"
28,27/06/25 13:30:00 +0200,"36,40","36,76","37,32","36,93","36,59","36,10"
29,27/06/25 14:00:00 +0200,"36,36","36,51","36,48","36,44","36,33","35,97"
30,27/06/25 14:30:00 +0200,"37,43","37,86","37,73","38,37","37,96","37,19"
31,27/06/25 15:00:00 +0200,"39,49","38,26","38,89","39,32","37,94","38,11"
32,27/06/25 15:30:00 +0200,"39,08","39,44","39,40","39,74","39,04","39,02"
33,27/06/25 16:00:00 +0200,"41,70","40,24","40,17","39,83","38,74","39,85"
34,27/06/25 16:30:00 +0200,"41,01","40,37","39,98","39,74","38,86","39,32"
35,27/06/25 17:00:00 +0200,"40,84","39,79","40,39","39,42","38,63","39,83"
36,27/06/25 17:30:00 +0200,"39,57","40,02","39,68","39,44","39,23","39,44"
37,27/06/25 18:00:00 +0200,"39,85","41,03","39,89","40,30","39,53","39,74"
38,27/06/25 18:30:00 +0200,"40,45","41,59","40,39","39,19","40,56","40,04"
39,27/06/25 19:00:00 +0200,"37,88","39,66","39,44","35,60","39,38","38,89"
40,27/06/25 19:30:00 +0200,"34,96","39,57","39,21","35,22","39,29","37,54"
41,27/06/25 20:00:00 +0200,"33,65","41,35","38,03","34,88","39,49","34,60"
42,27/06/25 20:30:00 +0200,"33,31","38,01","33,91","33,82","37,04","33,97"
43,27/06/25 21:00:00 +0200,"31,55","34,25","32,26","31,92","33,05","31,94"
44,27/06/25 21:30:00 +0200,"28,61","28,76","28,59","30,07","28,70","28,46"
45,27/06/25 22:00:00 +0200,"26,04","25,69","25,63","25,61","25,76","25,63"
46,27/06/25 22:30:00 +0200,"23,74","23,27","23,31","23,10","23,64","23,51"
47,27/06/25 23:00:00 +0200,"22,43","22,24","22,13","22,09","22,54","22,24"
48,27/06/25 23:30:00 +0200,"20,93","20,87","21,00","20,78","21,25","21,38"
49,28/06/25 00:00:00 +0200,"20,42","20,33","20,46","20,10","20,63","20,76"
50,28/06/25 00:30:00 +0200,"19,82","19,50","19,62","19,17","19,95","20,03"
51,28/06/25 01:00:00 +0200,"19,67","19,45","19,35","19,20","19,77","19,24"
52,28/06/25 01:30:00 +0200,"18,89","19,15","18,89","18,64","19,39","18,96"
53,28/06/25 02:00:00 +0200,"18,51","18,47","18,49","18,34","18,81","18,70"
54,28/06/25 02:30:00 +0200,"18,49","18,62","18,02","18,64","18,72","18,17"
55,28/06/25 03:00:00 +0200,"17,59","17,48","17,65","17,33","17,61","17,74"
56,28/06/25 03:30:00 +0200,"17,56","17,41","17,44","17,50","17,72","17,54"
57,28/06/25 04:00:00 +0200,"17,09","17,09","17,01","16,88","17,26","17,14"
58,28/06/25 04:30:00 +0200,"16,58","16,34","16,30","16,47","16,66","16,39"
59,28/06/25 05:00:00 +0200,"16,73","16,49","16,34","16,51","16,66","16,39"
60,28/06/25 05:30:00 +0200,"16,15","15,89","15,89","16,06","16,21","16,11"
61,28/06/25 06:00:00 +0200,"15,89","15,59","15,74","15,81","15,85","15,76"
62,28/06/25 06:30:00 +0200,"18,02","17,69","17,29","17,89","17,78","16,94"
63,28/06/25 07:00:00 +0200,"16,51","16,15","16,47","16,21","16,34","16,28"
64,28/06/25 07:30:00 +0200,"16,60","16,54","16,49","16,34","16,62","16,47"
65,28/06/25 08:00:00 +0200,"19,00","20,78","20,42","19,20","19,90","18,74"
66,28/06/25 08:30:00 +0200,"23,87","23,87","25,76","22,71","22,35","24,13"
67,28/06/25 09:00:00 +0200,"26,98","26,90","29,26","28,44","25,09","26,85"
68,28/06/25 09:30:00 +0200,"30,99","29,06","31,23","30,48","28,10","29,08"
69,28/06/25 10:00:00 +0200,"33,40","31,94","33,20","32,94","30,69","32,22"
70,28/06/25 10:30:00 +0200,"33,57","33,40","33,82","33,97","32,34","32,88"
71,28/06/25 11:00:00 +0200,"33,97","33,82","34,40","33,78","33,01","33,50"
72,28/06/25 11:30:00 +0200,"36,18","35,63","36,55","36,03","34,81","36,01"
73,28/06/25 12:00:00 +0200,"35,82","35,95","36,18","36,14","36,12","35,30"
74,28/06/25 12:30:00 +0200,"37,00","37,58","37,28","37,64","37,58","36,76"
75,28/06/25 13:00:00 +0200,"39,27","38,69","39,06","39,04","38,29","38,05"
76,28/06/25 13:30:00 +0200,"39,83","39,42","39,77","40,15","39,08","38,91"
77,28/06/25 14:00:00 +0200,"39,25","39,72","39,38","40,13","39,51","39,12"
78,28/06/25 14:30:00 +0200,"39,92","40,22","40,43","39,94","40,37","39,72"
79,28/06/25 15:00:00 +0200,"40,75","40,58","40,56","40,54","39,70","39,94"
80,28/06/25 15:30:00 +0200,"40,13","40,75","40,19","40,67","41,18","40,30"
81,28/06/25 16:00:00 +0200,"42,45","41,14","41,70","41,18","40,41","41,25"
82,28/06/25 16:30:00 +0200,"41,44","42,19","41,63","42,34","42,08","41,33"
83,28/06/25 17:00:00 +0200,"41,20","41,63","41,72","40,99","41,72","41,20"
84,28/06/25 17:30:00 +0200,"41,33","41,59","41,10","41,25","40,99","40,52"
85,28/06/25 18:00:00 +0200,"42,10","42,13","41,65","41,37","41,12","41,52"
86,28/06/25 18:30:00 +0200,"41,14","41,61","41,01","40,56","40,99","41,63"
87,28/06/25 19:00:00 +0200,"41,37","43,00","41,67","38,56","41,48","41,40"
88,28/06/25 19:30:00 +0200,"37,90","42,43","41,33","38,01","40,92","40,17"
89,28/06/25 20:00:00 +0200,"36,36","42,15","39,47","37,41","41,29","37,13"
90,28/06/25 20:30:00 +0200,"34,57","34,68","35,00","34,55","35,00","34,92"
91,28/06/25 21:00:00 +0200,"31,94","32,90","32,11","31,94","32,67","31,94"
92,28/06/25 21:30:00 +0200,"30,05","29,90","29,79","30,59","30,13","29,79"
93,28/06/25 22:00:00 +0200,"28,20","27,84","27,71","27,90","28,20","27,93"
94,28/06/25 22:30:00 +0200,"26,96","26,62","26,70","26,77","26,92","26,83"
95,28/06/25 23:00:00 +0200,"26,17","25,95","26,10","26,04","26,32","26,17"
96,28/06/25 23:30:00 +0200,"24,82","24,51","24,54","24,64","24,88","24,79"
97,29/06/25 00:00:00 +0200,"23,81","23,70","23,85","23,74","24,09","23,98"
98,29/06/25 00:30:00 +0200,"22,76","22,43","22,43","22,43","22,76","22,52"
99,29/06/25 01:00:00 +0200,"21,47","21,17","21,28","21,10","21,55","21,38"
100,29/06/25 01:30:00 +0200,"20,85","20,72","20,76","20,70","21,10","21,10"
101,29/06/25 02:00:00 +0200,"20,95","20,80","20,89","20,89","21,32","20,80"
102,29/06/25 02:30:00 +0200,"19,86","19,71","19,84","19,73","20,05","19,97"
103,29/06/25 03:00:00 +0200,"20,91","21,25","21,10","20,91","21,53","21,10"
